origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd
1,2001,89.8718440471472,91.6968387257318,1.98428970259906,1.96172376997785
2,2001,91.2440681580827,92.9374807570388,1.9592786333666,1.93966212324307
3,2001,93.9450890144678,95.8093595152601,2.03013943346154,2.01578788804413
4,2001,97.0166218768748,98.7565444278785,2.10412136703311,2.09016827207752
1,2002,100.492347562756,102.467122704207,2.08264626073095,2.06240277870173
2,2002,103.0246280731,104.793747284015,2.11547765521087,2.09539962855934
3,2002,106.146681324317,107.88567444722,2.10640901780533,2.08736463371618
4,2002,104.805478422569,106.378942604687,2.06911526213722,2.04927243795906
1,2003,107.60673960929,109.512826380191,2.01920080027925,2.00141513697763
2,2003,108.203260946499,109.954052454078,1.96619685484539,1.95169031444543
3,2003,110.126825245488,111.888776519607,1.98864029952382,1.97218096797646
4,2003,112.291107416427,113.840484126169,1.99820068279241,1.9815818891396
1,2004,116.837650883357,118.703616478399,2.05081077961932,2.03282072849631
2,2004,118.319826803538,120.035721777143,2.03537804857817,2.01903314513132
3,2004,119.69483158524,121.391808913747,2.03809176425391,2.02024745052536
4,2004,120.412728476442,121.958310498946,2.01106091958827,1.99473892742901
1,2005,125.122931480037,126.982585514686,2.04102306916234,2.02438979428553
2,2005,125.36829437335,127.062657154705,1.98014765691455,1.96539539816038
3,2005,121.055851932311,122.675420052776,1.79105240552823,1.77727963964458
4,2005,124.016861015231,125.49132984599,1.84586510814987,1.83206993278441
1,2006,125.397070139728,127.577119920555,1.738057318775,1.72962644593709
2,2006,126.131764960865,127.755275210359,1.74233232512388,1.73140456683898
3,2006,126.250698796179,127.851125540572,1.713191468478,1.70184792416552
4,2006,127.553941743051,129.104047962682,1.67853250415741,1.67332765913746
1,2007,130.342454572289,132.024276182315,1.689823774399,1.67774039574889
2,2007,131.914687438858,133.49962284819,1.68655080059534,1.67677899128062
3,2007,132.750412382695,134.251147236733,1.67783250767024,1.665740469482
4,2007,133.755783802506,135.132941893256,1.67339068134621,1.6624489103824
1,2008,137.738003130278,139.430112632006,1.67785528919148,1.66758108000501
2,2008,139.460058509501,141.013563111562,1.68134774186984,1.67106045518249
3,2008,145.019787852738,146.71153037879,1.76221866483835,1.75623884972959
4,2008,143.014255061556,144.511573635339,1.70554546558594,1.69718011228156
1,2009,146.233482053711,148.746279522612,1.69579604260017,1.70578844080033
2,2009,152.637236454783,154.706605471411,1.80085955013968,1.80585385620562
3,2009,174.932602764699,176.837355874451,2.03334146244712,2.01908561194307
4,2009,171.227426651597,173.206939571168,2.1350435482862,2.12183618379755
1,2010,170.115267599726,172.036310177575,2.10321054284899,2.09088870059104
2,2010,172.640737678021,174.43949633786,2.1182861800643,2.10617169993777
3,2010,173.212419295692,174.973817359034,2.09410782838677,2.08228109952154
4,2010,175.093889221615,176.754877225252,2.09957693586743,2.08817622907244
1,2011,177.82445053235,179.733905054368,2.07525792118773,2.06330159146734
2,2011,178.93437710746,180.711542596024,2.05487028184395,2.04380504906447
3,2011,181.122298721807,182.895865330337,2.07397567630845,2.06305515213663
4,2011,185.396488008915,187.637566058137,2.09027706141449,2.08350820884508
1,2012,187.652340864407,190.089088951737,2.07843461018327,2.07160218609346
2,2012,189.987199677199,192.319386827066,2.08294213383584,2.07882684616202
3,2012,191.955226192897,194.328523196304,2.09456990702144,2.08682196438487
4,2012,192.887502805992,195.12652263441,2.06340313322635,2.05752885693611
1,2013,194.911224884476,197.331693405171,2.0471203150327,2.04110983725259
2,2013,197.163113733787,199.468442057436,2.04737608068451,2.04425112565625
3,2013,200.110505994684,202.505269954301,2.08013943000795,2.07391097447349
4,2013,202.415795574281,204.622681726195,2.08729306740968,2.08099774702917
1,2014,203.510397355184,205.895164309971,2.04893687509974,2.04290826586649
2,2014,205.176454584608,207.424766689765,2.03858096458335,2.0336656559738
3,2014,206.626822243174,208.962184455995,2.03723522011246,2.03039094399758
4,2014,208.318667475355,210.522631059789,2.02687112230271,2.02156636183047
1,2015,212.708963379666,215.444544414711,2.04542991710653,2.04122334752112
2,2015,215.077059744929,217.443578182608,2.06337373195227,2.0589880261077
3,2015,216.452999623115,218.870510058896,2.05806554705916,2.05190199563196
